Name    Lib    X-shift    Y-shift    Height    Result    Confirm 
chip-001    chip-1005-lib    67um    29um    133um    OK    OK 
chip-002    chip-01005-lib    -283um    317um    241um    OK    OK 
chip-003    chip-0201-lib    234um    -85um    284um    OK    OK 
chip-004    chip-0603-lib    -422um    494um    418um    x-misalign    OK 
chip-005    chip-0402-lib    397um    -342um    428um    OK    OK 
chip-006    chip-0603-lib    455um    471um    139um    x-misalign    OK 
chip-007    chip-1005-lib    400um    471um    457um    y-misalign    missing 
chip-008    chip-1005-lib    -303um    149um    456um    OK    OK 
chip-009    chip-0201-lib    -414um    497um    471um    x-misalign    OK 
chip-010    chip-0201-lib    50um    -64um    371um    OK    OK 
chip-011    chip-0603-lib    237um    -347um    85um    OK    OK 
chip-012    chip-1005-lib    -421um    -51um    22um    x-misalign    x-misalign 
chip-013    chip-01005-lib    -231um    -412um    348um    y-misalign    OK 
chip-014    chip-0603-lib    -277um    -300um    412um    OK    OK 
chip-015    chip-0603-lib    250um    -163um    122um    OK    OK 
chip-016    chip-0201-lib    283um    16um    233um    OK    OK 
chip-017    chip-1005-lib    -373um    478um    194um    y-misalign    OK 
chip-018    chip-1005-lib    -143um    206um    70um    OK    OK 
chip-019    chip-01005-lib    -396um    109um    171um    OK    OK 
chip-020    chip-01005-lib    315um    334um    126um    OK    OK 
chip-021    chip-0201-lib    -154um    -80um    162um    OK    OK 
chip-022    chip-0603-lib    56um    -193um    253um    OK    OK 
chip-023    chip-01005-lib    216um    -468um    64um    y-misalign    OK 
chip-024    chip-1005-lib    -436um    227um    383um    x-misalign    x-misalign 
chip-025    chip-01005-lib    92um    -32um    439um    OK    OK 
chip-026    chip-0402-lib    101um    280um    196um    OK    OK 
chip-027    chip-0603-lib    348um    -321um    72um    OK    OK 
chip-028    chip-0603-lib    -356um    -150um    21um    OK    OK 
chip-029    chip-0402-lib    45um    -85um    19um    missing    OK 
chip-030    chip-1005-lib    79um    99um    347um    OK    OK 
chip-031    chip-0603-lib    489um    481um    315um    x-misalign    x-misalign 
chip-032    chip-0201-lib    334um    470um    494um    y-misalign    y-misalign 
chip-033    chip-0201-lib    -253um    -221um    305um    OK    OK 
chip-034    chip-01005-lib    500um    308um    414um    x-misalign    missing 
chip-035    chip-01005-lib    439um    489um    34um    x-misalign    x-misalign 
chip-036    chip-0402-lib    245um    146um    328um    OK    OK 
chip-037    chip-0603-lib    -110um    -159um    271um    OK    OK 
chip-038    chip-0603-lib    176um    335um    422um    OK    OK 
chip-039    chip-01005-lib    -294um    -343um    459um    OK    OK 
chip-040    chip-0402-lib    263um    21um    80um    OK    OK 
chip-041    chip-01005-lib    -453um    308um    271um    x-misalign    OK 
chip-042    chip-0402-lib    -496um    -55um    230um    x-misalign    x-misalign 
chip-043    chip-01005-lib    416um    392um    428um    x-misalign    OK 
chip-044    chip-0603-lib    379um    -302um    436um    OK    OK 
chip-045    chip-1005-lib    -140um    -462um    31um    y-misalign    x-misalign 
chip-046    chip-0402-lib    317um    151um    90um    OK    OK 
chip-047    chip-01005-lib    340um    384um    273um    OK    OK 
chip-048    chip-0603-lib    -7um    237um    286um    OK    OK 
