ID	Name	Height	Result	NgType	Time	
1	R2	558.46	OK	翻件	2017-08-14 21:25:56	
2	IC1	317.45	OK	立碑	2017-08-14 21:25:56	
3	R1	506.36	NG	异物	2017-08-14 21:25:56	
4	Bga2	374.41	NG	脚翘	2017-08-14 21:25:56	
5	IC1	502.16	OK	多锡	2017-08-14 21:25:56	
6	R1	422.93	OK	异物	2017-08-14 21:25:56	
7	R1	438.31	OK	缺件	2017-08-14 21:25:56	
8	IC2	361.17	NG	异物	2017-08-14 21:25:56	
9	Bga2	561.02	OK	翻件	2017-08-14 21:25:56	
10	C2	390.64	OK	脚翘	2017-08-14 21:25:56	
11	Bga2	439.39	NG	立碑	2017-08-14 21:25:56	
12	Bga1	568.69	OK	多锡	2017-08-14 21:25:56	
13	C1	367.37	OK	偏移	2017-08-14 21:25:56	
14	IC2	463.79	NG	脚翘	2017-08-14 21:25:56	
15	R2	365.64	OK	虚焊	2017-08-14 21:25:56	
16	C1	307.96	OK	错料	2017-08-14 21:25:56	
17	IC1	592.00	OK	桥联	2017-08-14 21:25:56	
18	R2	596.11	OK	脚翘	2017-08-14 21:25:56	
19	R2	580.19	OK	立碑	2017-08-14 21:25:56	
20	R2	477.37	NG	多锡	2017-08-14 21:25:56	
