ID   Name  Height    Result    NgType         			Time            
1    BGA1  313.69    OK        N/A            			2017-08-14 21:21:26 
2    C2    598.26    NG        脚翘         			2017-08-14 21:21:26 
3    BGA1  327.36    NG        虚焊         			2017-08-14 21:21:26 
4    C2    534.86    OK        N/A            			2017-08-14 21:21:26 
5    C2    336.39    OK        N/A            			2017-08-14 21:21:26 
6    C2    412.17    NG        多锡         			2017-08-14 21:21:26 
7    BGA2  416.63    NG        翻件         			2017-08-14 21:21:26 
8    C1    573.21    OK        N/A            			2017-08-14 21:21:26 
9    C2    527.82    OK        N/A            			2017-08-14 21:21:26 
10   C2    538.51    OK        N/A            			2017-08-14 21:21:26 
11   R2    553.38    OK        N/A            			2017-08-14 21:21:26 
12   BGA2  545.15    OK        N/A            			2017-08-14 21:21:26 
13   R1    462.68    NG        错料         			2017-08-14 21:21:26 
14   IC2   496.82    NG        偏移         			2017-08-14 21:21:26 
15   C1    364.28    OK        N/A            			2017-08-14 21:21:26 
16   BGA2  409.67    OK        N/A            			2017-08-14 21:21:26 
17   IC1   458.90    NG        异物         			2017-08-14 21:21:26 
18   R1    508.08    OK        N/A            			2017-08-14 21:21:26 
19   R2    418.14    NG        多锡         			2017-08-14 21:21:26 
20   R2    436.49    NG        虚焊         			2017-08-14 21:21:26 
