ID	Name	Height	Result	NgType	Time	
1	Bga2	321.74	NG	脚翘	2017-08-14 16:27:27	
2	IC2	314.37	NG	虚焊	2017-08-14 16:27:27	
3	R1	308.46	NG	偏移	2017-08-14 16:27:27	
4	C1	404.59	OK	多锡	2017-08-14 16:27:27	
5	R1	404.93	NG	异物	2017-08-14 16:27:27	
6	R2	477.06	NG	异物	2017-08-14 16:27:27	
7	C2	322.64	NG	错料	2017-08-14 16:27:27	
8	R2	420.79	NG	虚焊	2017-08-14 16:27:27	
9	Bga2	540.65	OK	虚焊	2017-08-14 16:27:27	
10	C1	387.60	NG	立碑	2017-08-14 16:27:27	
11	C2	517.88	OK	虚焊	2017-08-14 16:27:27	
12	R2	523.18	OK	偏移	2017-08-14 16:27:27	
13	IC2	327.27	NG	翻件	2017-08-14 16:27:27	
14	C2	346.29	OK	脚翘	2017-08-14 16:27:27	
15	Bga2	507.58	NG	虚焊	2017-08-14 16:27:27	
16	Bga1	459.51	NG	翻件	2017-08-14 16:27:27	
17	C2	466.64	OK	缺件	2017-08-14 16:27:27	
18	R1	548.53	OK	桥联	2017-08-14 16:27:27	
19	C1	383.10	NG	异物	2017-08-14 16:27:28	
20	C2	549.23	OK	翻件	2017-08-14 16:27:28	
