ID	Name	Height	Result	NgType	Time	
1	IC2	520.59	NG	立碑	2017-08-14 21:23:56	
2	IC2	363.59	OK	翻件	2017-08-14 21:23:56	
3	IC2	529.24	NG	虚焊	2017-08-14 21:23:56	
4	R1	323.41	NG	错料	2017-08-14 21:23:56	
5	IC1	328.51	NG	桥联	2017-08-14 21:23:56	
6	C1	365.32	NG	错料	2017-08-14 21:23:56	
7	R2	416.76	NG	缺件	2017-08-14 21:23:56	
8	C2	453.36	OK	多锡	2017-08-14 21:23:56	
9	R2	534.20	OK	偏移	2017-08-14 21:23:56	
10	Bga1	336.35	OK	多锡	2017-08-14 21:23:56	
11	R2	448.68	NG	桥联	2017-08-14 21:23:56	
12	C1	521.76	NG	偏移	2017-08-14 21:23:56	
13	C1	324.90	NG	异物	2017-08-14 21:23:56	
14	R1	377.49	OK	缺件	
