ID	Name	Height	Result	NgType	Time	
1	R1	378.04	NG	异物	2017-08-14 15:34:17	
2	IC1	408.69	OK	翻件	2017-08-14 15:34:17	
3	C2	329.95	OK	偏移	2017-08-14 15:34:17	
4	C1	497.79	NG	偏移	2017-08-14 15:34:17	
5	R2	428.30	NG	立碑	2017-08-14 15:34:17	
6	C1	589.84	NG	缺件	2017-08-14 15:34:17	
7	C1	484.23	OK	桥联	2017-08-14 15:34:17	
8	IC1	420.82	NG	错料	2017-08-14 15:34:17	
9	C1	365.39	NG	异物	2017-08-14 15:34:17	
10	C1	305.99	OK	翻件	2017-08-14 15:34:17	
11	IC1	564.10	NG	桥联	2017-08-14 15:34:17	
12	IC1	466.98	OK	翻件	2017-08-14 15:34:17	
13	R1	558.49	NG	虚焊	2017-08-14 15:34:17	
14	R1	369.88	NG	缺件	2017-08-14 15:34:17	
15	R1	315.77	NG	翻件	2017-08-14 15:34:17	
16	R1	358.41	OK	多锡	2017-08-14 15:34:17	
17	C2	337.27	OK	虚焊	2017-08-14 15:34:17	
18	Bga1	362.83	NG	虚焊	2017-08-14 15:34:17	
19	R1	565.24	OK	缺件	2017-08-14 15:34:17	
20	IC2	554.99	NG	异物	2017-08-14 15:34:17	
