时间差为：
==========================================================
2017-08-14 16:24:40 - 2017-08-14 17:14:40
==========================================================
==================以下为时间差所查询到的数据================
ID	 Name	 Height	Result	 NgType	Time	
1	 Bga1	 565.55	  OK	  桥联	  2017-08-14 16:27:27	
2	 R2	 438.45	  OK	  桥联	  2017-08-14 16:27:27	
3	 IC1	 495.15	  OK	  异物	  2017-08-14 16:27:27	
4	 R1	 564.98	  NG	  翻件	  2017-08-14 16:27:27	
5	 Bga1	 331.35	  OK	  缺件	  2017-08-14 16:27:27	
6	 R2	 522.33	  NG	  立碑	  2017-08-14 16:27:27	
7	 R2	 493.20	  NG	  桥联	  2017-08-14 16:27:27	
8	 Bga1	 504.29	  OK	  多锡	  2017-08-14 16:27:27	
9	 C2	 310.58	  OK	  多锡	  2017-08-14 16:27:27	
10	 IC1	 314.13	  NG	  缺件	  2017-08-14 16:27:27	
11	 R2	 473.26	  NG	  虚焊	  2017-08-14 16:27:27	
12	 Bga2	 363.41	  NG	  异物	  2017-08-14 16:27:27	
13	 R1	 588.00	  NG	  错料	  2017-08-14 16:27:27	
14	 C2	 417.47	  NG	  偏移	  2017-08-14 16:27:27	
15	 Bga1	 574.26	  OK	  虚焊	  2017-08-14 16:27:27	
16	 R1	 546.38	  OK	  多锡	  2017-08-14 16:27:27	
17	 C1	 549.92	  OK	  虚焊	  2017-08-14 16:27:27	
18	 Bga2	 387.07	  NG	  立碑	  2017-08-14 16:27:27	
19	 R1	 536.93	  OK	  异物	  2017-08-14 16:27:28	
20	 Bga1	 464.00	  NG	  桥联	  2017-08-14 16:27:28	
21	 Bga2	 321.74	  NG	  脚翘	  2017-08-14 16:27:27	
22	 IC2	 314.37	  NG	  虚焊	  2017-08-14 16:27:27	
23	 R1	 308.46	  NG	  偏移	  2017-08-14 16:27:27	
24	 C1	 404.59	  OK	  多锡	  2017-08-14 16:27:27	
25	 R1	 404.93	  NG	  异物	  2017-08-14 16:27:27	
26	 R2	 477.06	  NG	  异物	  2017-08-14 16:27:27	
27	 C2	 322.64	  NG	  错料	  2017-08-14 16:27:27	
28	 R2	 420.79	  NG	  虚焊	  2017-08-14 16:27:27	
29	 Bga2	 540.65	  OK	  虚焊	  2017-08-14 16:27:27	
30	 C1	 387.60	  NG	  立碑	  2017-08-14 16:27:27	
31	 C2	 517.88	  OK	  虚焊	  2017-08-14 16:27:27	
32	 R2	 523.18	  OK	  偏移	  2017-08-14 16:27:27	
33	 IC2	 327.27	  NG	  翻件	  2017-08-14 16:27:27	
34	 C2	 346.29	  OK	  脚翘	  2017-08-14 16:27:27	
35	 Bga2	 507.58	  NG	  虚焊	  2017-08-14 16:27:27	
36	 Bga1	 459.51	  NG	  翻件	  2017-08-14 16:27:27	
37	 C2	 466.64	  OK	  缺件	  2017-08-14 16:27:27	
38	 R1	 548.53	  OK	  桥联	  2017-08-14 16:27:27	
39	 C1	 383.10	  NG	  异物	  2017-08-14 16:27:28	
40	 C2	 549.23	  OK	  翻件	  2017-08-14 16:27:28	
