ID	Name	Height	Result	NgType	Time	
1	C1	300.60	OK	立碑	2017-08-14 21:23:50	
2	R1	454.90	NG	异物	2017-08-14 21:23:50	
3	R1	439.67	OK	脚翘	2017-08-14 21:23:50	
4	R2	326.31	OK	多锡	2017-08-14 21:23:50	
5	R1	315.76	OK	异物	2017-08-14 21:23:50	
6	Bga2	373.45	NG	缺件	2017-08-14 21:23:50	
7	C1	592.74	NG	翻件	2017-08-14 21:23:50	
8	C1	509.01	OK	桥联	2017-08-14 21:23:50	
9	Bga1	581.89	OK	虚焊	2017-08-14 21:23:50	
10	C1	357.94	OK	立碑	2017-08-14 21:23:50	
11	C1	322.06	NG	异物	2017-08-14 21:23:50	
12	IC1	579.25	OK	脚翘	2017-08-14 21:23:50	
13	R1	325.05	OK	虚焊	2017-08-14 21:23:50	
14	Bga1	394.02	OK	偏移	2017-08-14 21:23:50	
15	IC1	480.88	NG	脚翘	2017-08-14 21:23:50	
16	R2	506.46	NG	多锡	2017-08-14 21:23:50	
17	C1	441.21	OK	桥联	2017-08-14 21:23:51	
18	Bga1	571.43	OK	桥联	2017-08-14 21:23:51	
19	R2	486.87	OK	异物	2017-08-14 21:23:51	
20	R1	587.69	OK	脚翘	2017-08-14 21:23:51	
