2017-08-14 20:45:29-2017-08-14 21:35:29
ID		Name		Hight		Result		NgType		Time	
1		IC2		520.59		NG		立碑		2017-08-14 21:23:56	
2		IC2		363.59		OK		翻件		2017-08-14 21:23:56	
3		IC2		529.24		NG		虚焊		2017-08-14 21:23:56	
4		R1		323.41		NG		错料		2017-08-14 21:23:56	
5		IC1		328.51		NG		桥联		2017-08-14 21:23:56	
6		C1		365.32		NG		错料		2017-08-14 21:23:56	
7		R2		416.76		NG		缺件		2017-08-14 21:23:56	
8		C2		453.36		OK		多锡		2017-08-14 21:23:56	
9		R2		534.20		OK		偏移		2017-08-14 21:23:56	
10		Bga1		336.35		OK		多锡		2017-08-14 21:23:56	
11		R2		448.68		NG		桥联		2017-08-14 21:23:56	
12		C1		521.76		NG		偏移		2017-08-14 21:23:56	
13		C1		324.90		NG		异物		2017-08-14 21:23:56	
1		C1		300.60		OK		立碑		2017-08-14 21:23:50	
2		R1		454.90		NG		异物		2017-08-14 21:23:50	
3		R1		439.67		OK		脚翘		2017-08-14 21:23:50	
4		R2		326.31		OK		多锡		2017-08-14 21:23:50	
5		R1		315.76		OK		异物		2017-08-14 21:23:50	
6		Bga2		373.45		NG		缺件		2017-08-14 21:23:50	
7		C1		592.74		NG		翻件		2017-08-14 21:23:50	
8		C1		509.01		OK		桥联		2017-08-14 21:23:50	
9		Bga1		581.89		OK		虚焊		2017-08-14 21:23:50	
10		C1		357.94		OK		立碑		2017-08-14 21:23:50	
11		C1		322.06		NG		异物		2017-08-14 21:23:50	
12		IC1		579.25		OK		脚翘		2017-08-14 21:23:50	
13		R1		325.05		OK		虚焊		2017-08-14 21:23:50	
14		Bga1		394.02		OK		偏移		2017-08-14 21:23:50	
15		IC1		480.88		NG		脚翘		2017-08-14 21:23:50	
16		R2		506.46		NG		多锡		2017-08-14 21:23:50	
17		C1		441.21		OK		桥联		2017-08-14 21:23:51	
18		Bga1		571.43		OK		桥联		2017-08-14 21:23:51	
19		R2		486.87		OK		异物		2017-08-14 21:23:51	
20		R1		587.69		OK		脚翘		2017-08-14 21:23:51	
1		R2		370.45		OK		立碑		2017-08-14 21:23:51	
2		C1		344.38		NG		脚翘		2017-08-14 21:23:51	
3		IC2		316.22		OK		异物		2017-08-14 21:23:51	
4		C2		467.99		NG		桥联		2017-08-14 21:23:51	
5		R2		593.88		NG		错料		2017-08-14 21:23:51	
6		Bga2		389.07		OK		错料		2017-08-14 21:23:51	
7		IC2		533.50		OK		虚焊		2017-08-14 21:23:51	
8		Bga1		405.78		OK		错料		2017-08-14 21:23:51	
9		IC1		586.93		NG		虚焊		2017-08-14 21:23:51	
10		R1		573.96		OK		桥联		2017-08-14 21:23:51	
11		Bga2		310.77		NG		翻件		2017-08-14 21:23:51	
12		IC1		341.43		OK		桥联		2017-08-14 21:23:51	
13		Bga1		578.14		OK		多锡		2017-08-14 21:23:51	
14		Bga2		429.62		OK		虚焊		2017-08-14 21:23:51	
15		Bga2		469.88		OK		桥联		2017-08-14 21:23:51	
16		Bga1		516.51		OK		翻件		2017-08-14 21:23:51	
17		R2		453.36		NG		虚焊		2017-08-14 21:23:51	
18		C2		310.37		NG		立碑		2017-08-14 21:23:51	
19		Bga2		572.59		NG		错料		2017-08-14 21:23:51	
20		IC2		461.81		OK		多锡		2017-08-14 21:23:51	
